category,hub,business,phone,email,website,confidence
Turnover Cleaning Services,East Stroudsburg PA,Maid 2 Clean,(570) 588-8944,sales@maid2cleanpa.com,http://maid2cleanpa.com/house-cleaning-maid-services-in-east-stroudsburg-pa/,high
Turnover Cleaning Services,Lake Ariel PA,Vetrano Cleaning Services LLC,(570) 483-2500,admin@vetranocleaningservices.com,http://vetranocleaningservices.com,high
Turnover Cleaning Services,Pocono Lake PA,Poconos House Cleaning,(570) 704-3777,paige@poconoshousecleaning.com,http://www.poconoshousecleaning.com,high
Turnover Cleaning Services,Shawnee on Delaware PA,CDR Cleaners,(267) 314-8134,procleans@cdrcleaners.com,http://cdrcleaners.com/delaware-county/,high
Turnover Cleaning Services,Hideout Lake Ariel PA,Wanderlust Rentals and Cleaning Services,(570) 904-5996,info@wanderlustrentals.co,http://wanderlustrentals.co,high
Hot Tub Maintenance service,Shawnee on Delaware PA,Spa work Shawnee and Salon,(570) 424-4000,info@shawneeinn.com,http://www.shawneeinn.com/spa-poconos-pa,high
Hot Tub Maintenance service,Camelback Resort Tannersville PA,"Mountain Springs Lake Resort | Private Lake, Lakefront Cabins & Pocono Getaways",(570) 629-0251,vacation@mslresort.com,http://www.mslresort.com,high
Handyman and property repairs,East Stroudsburg PA,SK Handyman Services,(201) 724-8672,info@skhandyman.com,http://skhandyman.com,high
Handyman and property repairs,Hawley PA,Rapid Repair Handyman Services,(570) 955-9191,contact@rapidrepairguys.com,http://rapidrepairguys.com,high
Handyman and property repairs,Honesdale PA,Summit Handyman,(570) 575-9462,adam@summithandymanpa.com,http://summithandymanpa.com/about/,high
Handyman and property repairs,Bushkill Falls PA,TruBlue of Easton,(484) 207-0060,info@trublueally.com,http://www.trublueally.com/easton,high
Handyman and property repairs,Resica Falls PA,Legacy The HandyMan,(570) 202-6627,contact@legacythehandyman.com,http://legacythehandyman.com,high
HVAC and plumbing emergency service,Stroudsburg PA,KMB PLUMBING AND ELECTRICAL,(570) 460-0111,info@kmbplumbing.com,http://www.kmbplumbing.com,high
HVAC and plumbing emergency service,Jim Thorpe PA,E F Laudenslager Inc.,(610) 395-1582,info@eflaud.com,http://eflaud.com,high
HVAC and plumbing emergency service,Hawley PA,"Paupack Plumbing, Heating, AC & Electric",(570) 226-1776,info@strongenterprises.org,http://www.strongenterprises.org,high
HVAC and plumbing emergency service,Lehighton PA,R.F. Ohl,(610) 377-1098,info@rfohl.com,http://www.rfohl.com,high
HVAC and plumbing emergency service,Lake Ariel PA,Scotty's Services Inc,(570) 689-0890,sales@scottysservices.com,http://scottysservices.com,high
HVAC and plumbing emergency service,Arrowhead Lake Albrightsville PA,"Hope Mechanical, LLC",(610) 904-8002,server@plumberinboonenc.com,http://plumberinboonenc.com/plumber-near-me/hope-mechanical-llc/,high
HVAC and plumbing emergency service,Bushkill Falls PA,Lehigh Plumbing,(610) 973-5070,info@lehighplumbing.com,http://www.lehighplumbing.com,high
HVAC and plumbing emergency service,Blue Mountain Ski Area Palmerton PA,ABC Heating & Cooling Inc,(610) 760-6020,info@dualtemp.com,http://dualtemp.com/home-services/locations/palmerton/,high
HVAC and plumbing emergency service,Hemlock Farms Hawley PA,"Blitz Plumbing, Heating and Cooling",(845) 645-5013,noah@blitzplumbing.com,http://blitzplumbing.com/hawley-pa/,high
HVAC and plumbing emergency service,Hideout Lake Ariel PA,Rinker Inc.,(570) 698-9696,contact@gorinkerinc.com,http://gorinkerinc.com,high
Pest control services,Stroudsburg PA,Sting Operation Pest Control,(570) 380-5055,office@stingoperationpestcontrol.com,http://www.stingoperationpestcontrol.com,high
Pest control services,Stroudsburg PA,Mr. Perfecto Extermination and Cleaning,(800) 311-5944,server@pestcontrolnoblesville.com,http://pestcontrolnoblesville.com/pest-control-near-me/mr-perfecto-extermination-and-cleaning,high
Pest control services,Shawnee on Delaware PA,Green Pest Solutions,(610) 840-0044,info@greenpestsolutions.com,http://www.greenpestsolutions.com,high
Pest control services,Indian Mountain Lake Lehighton PA,"The Bug Guyz, LLC",(570) 855-5335,help@thebugguyz.com,http://thebugguyz.com,high
Trash valet garbage removal,East Stroudsburg PA,Nimis Hauling Inc.,(570) 807-2325,info@nimishaulinginc.com,http://www.nimishaulinginc.com,high
Trash valet garbage removal,Milford PA,Absolute Trash PA - Trash Valet Service,(215) 690-1379,info@absolutetrashpa.com,http://absolutetrashpa.com,high
Trash valet garbage removal,Milford PA,Bin Pals - Valet Trash Service New Jersey,(732) 558-2439,info@binpals.net,http://binpals.net/valet-trash-new-jersey/,high
Trash valet garbage removal,Milford PA,Trash Grabbers LLC,(484) 284-0594,info@trash-grabbers.com,http://www.trash-grabbers.com/services,high
Chimney sweep and fireplace service,Stroudsburg PA,"R&B Chimney Services, LLC",(570) 659-6605,services@randbchimney.com,http://randbchimney.com,high
Chimney sweep and fireplace service,Honesdale PA,A1 AFFORDABLE CHIMNEY PENNSYLVANIA,(570) 282-2122,office@a-1chimney.com,http://www.a-1chimney.com,high
Chimney sweep and fireplace service,Saylorsburg PA,Clean Sweep,(610) 867-2631,sales@cleansweep.ws,http://www.cleansweep.ws,high
Chimney sweep and fireplace service,Bushkill Falls PA,"Fireplace and Chimney Professionals, LLC",(610) 847-2530,chimney@fcpros.com,http://fcpros.com,high
Septic pumping and inspection,Stroudsburg PA,Allstate Septic Systems,(570) 421-1156,admin@allstateseptic.com,http://www.allstateseptic.com,high
Septic pumping and inspection,Mount Pocono PA,Ingrassia Excavating Inc. and Dumpster Rentals,(570) 656-1356,info@sourgum.com,http://sourgum.com,high
Septic pumping and inspection,Lehighton PA,Kratzer Septic Service,(610) 837-1291,info@kratzerseptic.com,http://kratzerseptic.com,high
Septic pumping and inspection,Lehighton PA,Biros Septic & Drain Cleaning,(570) 668-4703,info@birosseptic.com,http://www.birosseptic.com,high
Septic pumping and inspection,Resica Falls PA,Septix,(610) 703-2634,matt@septix.com,http://septix.com,high
Septic pumping and inspection,Hideout Lake Ariel PA,Sonlight Services LLC,(717) 936-9248,hcase@sonlightservices.com,http://sonlightservices.com,high
Window cleaning and power washing,Jim Thorpe PA,Exterior Cleaning Pros,(570) 952-4668,info@exteriorcleaningpros.com,http://www.exteriorcleaningpros.com,high
