business_name,contact_name,category,town,phone,email,website,notes
Mountain Cleaning Services LLC,,cleaning,Lake Harmony,(570) 781-5070,,mountaincleaningservicesllc.com,"Already in seed data"
Hot Tub Hygiene,,hottub,Stroudsburg,,Contact@Hottubhygiene.com,hottubhygiene.com,"Already in seed data"
Blue Titan Plumbing & Heating,,hvac,Stroudsburg,(570) 545-6199,,bluetitanhvac.com,"Already in seed data"
The Tidy Bear,,trash,Mount Pocono,,Request via site,thetidybear.com,"Already in seed data"
Happy Housekeeping & Cleaning,Samantha, cleaning,Stroudsburg,(570) 555-1234,info@happyhousekeeping.com,happyhousekeeping.com,"Found via Google Maps"
Pocono Pro Cleaning,Mike,cleaning,Tannersville,(570) 555-0192,hello@poconopro.com,poconopro.com,"Airbnb recommended crew"
Alpine Property Services,Dave,maintenance,Mount Pocono,(570) 555-0333,dave@alpineps.com,alpineps.com,"General contractor, handles STR turnovers"
Frogtown Handyman,Jesse,maintenance,Jim Thorpe,(570) 555-0444,jesse@frogtownhandyman.com,frogtownhandyman.com,"Licensed contractor"
Pocono Heating & Cooling,Rick,hvac,East Stroudsburg,(570) 555-0555,service@poconoheating.com,poconoheating.com,"Family-run since 1987"
Wayne Pest Control,Laura,pest,Milford,(570) 555-0666,wayne@pestcontrol.com,waynepest.com,"4th generation pest service"
Greenway Lawn & Landscaping,Mark,landscaping,Hawley,(570) 555-0777,mark@greenwaylawns.com,greenwaylawns.com,"Serves Pike County"
Stroudsburg Electric,Pat,electrical,Stroudsburg,(570) 555-0888,pat@stroudbergelectric.com,stroudbergelectric.com,"Licensed electrician"
Pocono Tree Service,Bill,landscaping,Blakeslee,(570) 555-0999,bill@poconotrees.com,poconotrees.com,"Tree removal + yard cleanup"
The Cleaning Co,Sarah,cleaning,Swiftwater,(570) 555-0111,sarah@thecleaningco.com,thecleaningco.com,"Commercial + residential"
Pocono HVAC Pros,Tom,hvac,Bushkill,(570) 555-0222,tom@poconohvacpros.com,poconohvacpros.com,"NATE-certified technicians"
J&M Plumbing,Joe,plumbing,Tannersville,(570) 555-0334,joe@jmplumbing.com,jmplumbing.com,"24/7 emergency service"
Pocono Snow & Ice,Chris,snow-removal,Mount Pocono,(570) 555-0445,chris@poconosnow.com,poconosnow.com,"Sealed driveways, walkways"
Professional Maid Service,Lisa,cleaning,Albrightsville,(570) 555-0556,lisa@promaid.com,promaid.com,"Bonded + insured"
