category,hub,business,rating,review_count,phone,website,address,review_snippet
Turnover Cleaning Services,Stroudsburg PA,Trusted Cleaning Services,4.9,,(272) 201-9821,http://trustedcleaningservicespa.com,"9
House cleaning service",
Turnover Cleaning Services,Stroudsburg PA,Turnover Queens,,,(272) 777-1362,http://turnoverqueenspa.com,,
Turnover Cleaning Services,East Stroudsburg PA,Home4UCleaning LLC,4.9,40,(973) 980-6699,http://home4ucleaning.com,6 AM Sun   (973) 980-6699,They came out to clean our office and did an absolute phenomenal job.
Turnover Cleaning Services,East Stroudsburg PA,Maid 2 Clean,4.6,380,(570) 588-8944,http://maid2cleanpa.com/house-cleaning-maid-services-in-east-stroudsburg-pa/,2 Clean,The cleaners arrived on time and did thorough work.
Turnover Cleaning Services,East Stroudsburg PA,Turnover Titans Cleaning Co.,4.8,17,(610) 572-4770,http://turnovertitans.com,8 AM Sun   (610) 572-4770,"Very happy with the cleaning provided, does an immaculate job."
Turnover Cleaning Services,East Stroudsburg PA,Poconos Hoodcleaning,4.5,33,(570) 982-2626,http://poconoshoods.com/hood-cleaning-services/,131 N 9th St,"They were professional, and did a fantastic job cleaning our hood ."
Turnover Cleaning Services,East Stroudsburg PA,Merry Maids of the Poconos,4.3,55,(570) 227-3243,http://merrymaids.com/home-cleaners-stroudsburg-pa,884 Rte 115,They did a great job in doing a Deep cleaning
Turnover Cleaning Services,Jim Thorpe PA,"Clean as a Whistle Cleaning and Handyman Services, LLC",5.0,14,(272) 342-5006,http://local.yahoo.com/info-240247062-clean-as-a-whistle-jim-thorpe/,24 hours   (272) 342-5006,Erica did a fantastic job cleaning our home.
Turnover Cleaning Services,Jim Thorpe PA,Keeping Cleaning Service LLC,5.0,5,,http://www.chamberofcommerce.com/business-directory/pennsylvania/lehighton/commercial-cleaning-service/2027285232-keeping-cleaning-service-llc,665 Interchange Rd,Best Cleaning Service!
Turnover Cleaning Services,Jim Thorpe PA,Sue cleaning services,5.0,2,,http://cleaningservicesby0.wixsite.com/sue-cleaning-service,245 E Abbott St,
Turnover Cleaning Services,Jim Thorpe PA,Turnover Cleaning Pros,4.9,17,(732) 703-6101,http://www.turnovercleaningservices.com,8 AM Sun   (732) 703-6101,Turnover Cleaning Pros is top notch!
Turnover Cleaning Services,Jim Thorpe PA,Jim thorpe window cleaning,5.0,2,(610) 554-3755,http://pennsylvaniadb.com/company/3709522/jim-thorpe-window-cleaning,20 Center St,I've been using Jim Thorpe Window Cleaning for five years.
Turnover Cleaning Services,Milford PA,R & R Elite Cleaning Services LLC,4.9,67,(570) 856-0973,http://www.rrelitecleaningservices.com,24 hours   (570) 856-0973,"She is friendly, professional, courteous and her cleaning is impeccable."
Turnover Cleaning Services,Milford PA,Bell's Cleaning Services,4.3,6,(845) 649-2581,http://www.bells-cleaning-services-llc.com/our-cleaning-services,129 Husson Rd,They do great quality work and they have wonderful communication!
Turnover Cleaning Services,Milford PA,Reset Co. Turnover Cleaning LLC,,,(610) 392-3602,http://www.bizapedia.com/pa/reset-co-turnover-cleaning-llc.html,6 AM Mon   (610) 392-3602,
Turnover Cleaning Services,Hawley PA,Hawley,,,,http://hawley-borough.org,"18428
Hawley PA",
Turnover Cleaning Services,Honesdale PA,STR Super Cleaners,4.8,80,(800) 583-3309,http://strsupercleaners.com,24 hours   (800) 583-3309,"The Cleaners are efficient, thorough and provide immaculate results."
Turnover Cleaning Services,Lake Ariel PA,Vetrano Cleaning Services LLC,5.0,2,(570) 483-2500,http://vetranocleaningservices.com,543 Hamlin Hwy,
Turnover Cleaning Services,Lake Ariel PA,Lake Region Pressure Washing & Exterior Cleaning,4.9,83,(570) 616-2238,http://www.lakeregionpressurewashingandexteriorcleaning.com,24 hours   (570) 616-2238,"They were reasonable priced, professional and punctual."
Turnover Cleaning Services,Bartonsville PA,Bartonsville,,,,http://monroecountypa.com/communities/bartonsville,,
Turnover Cleaning Services,Pocono Lake PA,Cleaning Poconos,5.0,3,(570) 722-4368,http://poconocleaningservices.net,353 Scotch Pine Dr,"After this experience, they are now my go-to cleaning company."
Turnover Cleaning Services,Pocono Lake PA,Pocono Cleaners | Vacation Rental Cleaning Services,5.0,27,(570) 731-8570,http://www.poconocleaners.com,7 AM Sun   (570) 731-8570,Best cleaning service ive ever had this team doesnt mess around
Turnover Cleaning Services,Pocono Lake PA,Poconos House Cleaning,4.5,50,(570) 704-3777,http://www.poconoshousecleaning.com,11 AM Sun   (570) 704-3777,Her team does an amazing job.
Turnover Cleaning Services,Pocono Lake PA,Scranton Home Cleaners,5.0,19,(570) 972-1050,http://scrantonhomecleaners.com,24 hours   (570) 972-1050,"She arrived on time, did a fantastic job!"
Turnover Cleaning Services,Albrightsville PA,Navium cleaning service,4.8,26,(631) 455-2707,http://www.bestprosintown.com/pa/albrightsville/navium-cleaning-service-/,9 AM Sun   (631) 455-2707,Excellent cleaning service.
Turnover Cleaning Services,Lake Wallenpaupack PA,Wallenpaupack Cleaning Services,4.8,21,(570) 470-4896,http://wallenpaupackcleaningservices.com,70 Circle Dr,
Turnover Cleaning Services,Lake Harmony PA,KerryClean Services LLC,3.3,11,(570) 215-0039,http://www.kerryclean.com,252 Lake Harmony Rd,
Turnover Cleaning Services,Arrowhead Lake Albrightsville PA,At Your Service Cleaning And Property Management,3.5,13,(570) 599-6092,http://www.findglocal.com/US/Albrightsville/1390219491198840/At-Your-Service-Concierge-In-The-Poconos,7 AM Sun   (570) 599-6092,I would definitely recommend this company for quality cleaning!
Turnover Cleaning Services,Arrowhead Lake Albrightsville PA,Sparkle Cleaning Co.,5.0,1,(631) 896-5179,http://sparklecleaningco.com/book-now/,,Affordable and comprehensive cleaning company.
Turnover Cleaning Services,Arrowhead Lake Albrightsville PA,Sudpro,5.0,14,(570) 579-3885,http://sudpro.com,24 hours   (570) 579-3885,The best cleaning company we have found in the area!
Turnover Cleaning Services,Bushkill Falls PA,"Mountain Top Cleaning, Landscaping & Snow Removal LLC",5.0,34,(908) 838-3868,http://nextdoor.com/pages/mountain-top-cleaning-landscaping-snow-removal-llc-bushkill-pa/,24 hours   (908) 838-3868,Our guests are beyond satisfied with the level of cleanliness and comfort.
Turnover Cleaning Services,Bushkill Falls PA,We Gotcha Cleaning Services,5.0,52,(570) 801-9750,http://powerwashmaps.com/general-cleaning/we-gotcha-cleaning-services,24 hours   (570) 801-9750,"They are super responsive, thorough, and diligent in their cleaning process."
Turnover Cleaning Services,Bushkill Falls PA,Bushkill Falls,4.6,,(570) 588-6682,http://www.visitbushkillfalls.com,138 Bushkill Falls Trail,The trails were well maintained and the location was very clean.
Turnover Cleaning Services,Shawnee on Delaware PA,Turnovers Cleaning Service LLC,5.0,14,(267) 469-4548,http://www.chamberofcommerce.com/united-states/pennsylvania/philadelphia/house-cleaning-service/1337670942-turnovers-cleaning-service-llc,24 hours   (267) 469-4548,
Turnover Cleaning Services,Shawnee on Delaware PA,CDR Cleaners,4.9,88,(267) 314-8134,http://cdrcleaners.com/delaware-county/,280 W Essex Ave,
Turnover Cleaning Services,Camelback Resort Tannersville PA,From Dust To Dawn Cleaning Service LLC,,,(570) 972-5719,http://www.chamberofcommerce.com/business-directory/pennsylvania/tannersville/house-cleaning-service/2029471191-from-dust-to-dawn-cleaning-service-llc,"611
Closed   Opens 9 AM Sun   (570) 972-5719",
Turnover Cleaning Services,Camelback Resort Tannersville PA,Rebecca's Cleaning Services,,,(570) 872-6910,http://www.chamberofcommerce.com/united-states/pennsylvania/tannersville/cleaners/39988235-rebecca-s-cleaning-services,24 hours   (570) 872-6910,
Turnover Cleaning Services,Camelback Resort Tannersville PA,Crowned Cleaning Co. - Professional Cleaning Services,5.0,22,(570) 840-0808,http://crownedcleaningco.com,3222 Evergreen Cir,"Clear communication, quick communication, good cleaning, no complaints here."
Turnover Cleaning Services,Camelback Resort Tannersville PA,Back Mountain Cleaners,5.0,5,(570) 550-0643,http://www.camelbackresort.com/resort-information,24 hours   (570) 550-0643,They are amazing cleaners!!!
Turnover Cleaning Services,Blue Mountain Ski Area Palmerton PA,"Mountain Maids Cleaning, LLC",5.0,7,(570) 778-0880,http://www.mountainmaidscleaningllc.com,7 AM Sun   (570) 778-0880,Very communicative on prices and details about the jobs.
Turnover Cleaning Services,Blue Mountain Ski Area Palmerton PA,RadujSki Cleaning,4.8,43,(610) 392-0522,http://radujski.com,9 AM Mon   (610) 392-0522,Fantastic and thorough cleaning services for a fair price.
Turnover Cleaning Services,Blue Mountain Ski Area Palmerton PA,Bright & Shiny Maid Service,,,(484) 523-8083,http://www.chamberofcommerce.com/business-directory/pennsylvania/danielsville/house-cleaning-service/2029593690-bright-shiny-maid-service,1385 Blue Mountain Dr,
Turnover Cleaning Services,Blue Mountain Ski Area Palmerton PA,Mountain Cleaning Services,4.6,11,(570) 781-5070,http://www.skibluemt.com,8 AM Sun   (570) 781-5070,"I would recommend for consistent STR cleaning, or deep cleans."
Turnover Cleaning Services,Resica Falls PA,Aardvark Cleaning Company,5.0,20,(570) 221-4388,http://aardvarkcleaningcompanypa.com,192 Chipperfield Dr,"Mike was very responsive, professional and did a great job."
Turnover Cleaning Services,Marshalls Creek PA,Dora Professional Cleaning Services,5.0,3,(484) 761-6240,http://www.doraprofessionalcleaning.com,24 hours   (484) 761-6240,My place honestly looked and smelled great when she finished.
Turnover Cleaning Services,Marshalls Creek PA,Michael's Construction Cleaning Services,4.7,3,(570) 512-8915,http://www.michels.us,24 hours   (570) 512-8915,The efficiency of Michael's Cleaning Services is worth noting.
Turnover Cleaning Services,Saw Creek Estates Bushkill PA,MBnB Concierge Cleaners,5.0,24,(570) 468-1566,http://mbnbconciergecleaners.com,9 AM Sun   (570) 468-1566,
Turnover Cleaning Services,Saw Creek Estates Bushkill PA,Pocono Country Cleaners L.L.C.,5.0,2,(570) 426-8453,http://www.poconocleaners.com,3118 Woodland Ct,
Turnover Cleaning Services,Tanglwood Lakes Greentown PA,Night/Day Cleaners,5.0,2,(570) 857-9008,http://www.findglocal.com/US/Greentown/151649088232360/Night-Day-Cleaners,134 Timber Ridge Cir,
Turnover Cleaning Services,Tanglwood Lakes Greentown PA,OHern's Cleaning Services LLC,5.0,3,(570) 580-8504,http://nextdoor.com/pages/oherns-cleaning-services-llc-tobyhanna-pa/,8 AM Sun   (570) 580-8504,"Jamie, comes once a week to clean our office."
Turnover Cleaning Services,Hemlock Farms Hawley PA,Maddison Cleaning Services,4.8,39,(272) 666-1020,http://maddisoncleaningservices.com,24 hours   (272) 666-1020,
Turnover Cleaning Services,Hemlock Farms Hawley PA,Pocono Clean Team,5.0,4,(570) 903-8820,http://www.hemlockfarms.org,24 hours   (570) 903-8820,"Couldn’t be happier, they cleaned from top to bottom, didn’t miss a spot."
Turnover Cleaning Services,Hemlock Farms Hawley PA,Roman's Cleaning Service,4.8,24,(484) 731-7471,http://www.hemlockfarms.org,30 AM Mon   (484) 731-7471,
Turnover Cleaning Services,Hemlock Farms Hawley PA,Hocus Pocus Cleaning,4.9,507,(484) 554-3218,http://hocuspocuscleaningservices.com,2844 Township Line Rd,
Turnover Cleaning Services,Pocono Ranch Lands East Stroudsburg PA,Poconos express cleaning,,,(570) 703-1460,http://poconoexpresscleaning.com,235 Washington St A,
Turnover Cleaning Services,Pocono Ranch Lands East Stroudsburg PA,K&J's Dream Clean,5.0,1,(570) 213-9158,http://www.chamberofcommerce.com/business-directory/pennsylvania/east-stroudsburg/house-cleaning-service/2031812896-k-j-s-dream-clean,9 AM Mon   (570) 213-9158,
Turnover Cleaning Services,Hideout Lake Ariel PA,Wanderlust Rentals and Cleaning Services,5.0,28,(570) 904-5996,http://wanderlustrentals.co,30 AM Sun   (570) 904-5996,
Turnover Cleaning Services,Hideout Lake Ariel PA,From Top to Bottom Carpet and Upholstery Cleaning,5.0,51,(570) 677-1111,http://www.fromtoptobottomco.com,650 The Hideout,Anthony and his son Sal did an Amazing Job and at a very fair price!
Turnover Cleaning Services,Hideout Lake Ariel PA,The Hideout,4.3,222,(570) 698-4100,N/A,37 Lakeview Dr,Clean lakes and wonderful service.
Turnover Cleaning Services,Indian Mountain Lake Lehighton PA,"SERVPRO of Carbon County, Pocono Pines",4.8,99,(610) 776-7774,N/A,1340 Interchange Rd,
Turnover Cleaning Services,Indian Mountain Lake Lehighton PA,Jalene's Cleaning Service,5.0,3,(570) 386-2739,N/A,304 Christman Rd,
Turnover Cleaning Services,Indian Mountain Lake Lehighton PA,Hilary's Cleaning Service,5.0,11,(610) 577-5286,N/A,8 AM Tue   (610) 577-5286,Hilary's Cleaning Service is THE only cleaning service you will need.
Turnover Cleaning Services,Indian Mountain Lake Lehighton PA,LEM-PRO CLEAN SOLUTIONS,,,(610) 577-5109,N/A,417 S 3rd St,
Hot Tub Maintenance service,Stroudsburg PA,Pocono Pool & Spa LLC,4.2,150,(570) 476-0888,N/A,1507 N 9th St,They are helpful and friendly and knowledgeable of their craft.
Hot Tub Maintenance service,Stroudsburg PA,Easy Pool and Spa,4.4,7,(484) 285-4846,N/A,8 AM Sun   (484) 285-4846,
Hot Tub Maintenance service,Stroudsburg PA,Pocono Hot Tub & Amenity Repair,5.0,1,(570) 856-2305,N/A,24 hours   (570) 856-2305,
Hot Tub Maintenance service,Stroudsburg PA,Aqua Leisure Pools and Spas,4.7,31,(570) 649-1059,N/A,3180 PA-611,Terry S the hot tub technician was amazing.
Hot Tub Maintenance service,Stroudsburg PA,Palmway Pools | Hot Tub & Pool Service,5.0,13,(570) 972-2495,N/A,9 AM Sun   (570) 972-2495,Technician came out fixed our pool and hot tub issue.
Hot Tub Maintenance service,East Stroudsburg PA,Poconos Hot Tub | Weekly Cleaning Service,5.0,7,(570) 678-1600,N/A,9 AM Mon   (570) 678-1600,... re my first recommendation for anyone needing hot tub services.
Hot Tub Maintenance service,Jim Thorpe PA,PDC Spa & Pool World,4.0,55,(610) 377-5637,N/A,701 Bridge St,
Hot Tub Maintenance service,Jim Thorpe PA,Mountain Friendly Spa Service,,,(570) 657-7667,N/A,24 hours   (570) 657-7667,
Hot Tub Maintenance service,Jim Thorpe PA,Spa Repair By Charles Knight,3.7,6,(610) 826-6211,N/A,9 AM Mon   (610) 826-6211,
Hot Tub Maintenance service,Jim Thorpe PA,Prime Spa Care LTD,5.0,45,(484) 646-3711,N/A,8 AM Mon   (484) 646-3711,He fixed our hot tub that’s been giving us problems in less than 2 hours.
Hot Tub Maintenance service,Jim Thorpe PA,AM Hot Tub Repair,4.9,56,(267) 362-9707,N/A,9 AM Mon   (267) 362-9707,Andrew diagnosed my issue and was able to repair the Hot Tub quickly.
Hot Tub Maintenance service,Milford PA,Hot Tub Service,4.8,108,(215) 395-6010,http://www.bbb.org/us/pa/milford/category/hot-tub-service-and-repair,2000 Industrial Hwy Bldg 20 and 21,"Hot Tub Service successfully fixed our aging hot tub, now working like new."
Hot Tub Maintenance service,Milford PA,P Kornfeind Pool & Spa Service LLC,4.5,10,(610) 351-7522,http://www.pkornfeindpoolandspaservicellc.com,7695 Kernsville Rd Ste A,This was for a hot tub pump replacement.
Hot Tub Maintenance service,Milford PA,Honey Spas,4.2,168,(610) 856-6051,http://www.honeyspas.net,3226 Morgantown Rd,Very friendly and found the problem with my Hot tub very fast.
Hot Tub Maintenance service,Milford PA,Trapani Inground Pool Restoration LLC,4.8,34,(610) 252-0813,http://lvpoolrepair.com,500 Newlins Rd E,They showed up early both days and worked until it was done.
Hot Tub Maintenance service,Hawley PA,The Lodge at Woodloch Spa,4.8,38,(570) 685-8000,http://booking.com,109 River Birch Ln,"The steam rooms, saunas, hot tubs all are clean and good temperatures."
Hot Tub Maintenance service,Tobyhanna PA,Hot Tub Hygiene,5.0,5,(570) 534-4060,http://www.hottubhygiene.com/contact-us,10 AM   (570) 534-4060,I would recommend him for any Hot Tub jobs.
Hot Tub Maintenance service,Lehighton PA,Arete Pool Service,3.6,21,(484) 256-3729,http://local.us-info.com/USPA101302904-4842563729/arete_pool_service-palmerton.html,378 Delaware Ave,"They are timely, professional, and reasonably priced!"
Hot Tub Maintenance service,Lehighton PA,Elite Pools,3.8,6,(610) 577-6886,http://www.elitepools.us,8 AM Mon   (610) 577-6886,"Came out, fixed the pool for less than Hayward did with no problems after."
Hot Tub Maintenance service,Honesdale PA,Star Spa Services Inc,4.1,18,(570) 253-7201,http://www.starspaservices.com,1250 Roosevelt Hwy,"Nice people, great with info on the tubs."
Hot Tub Maintenance service,Honesdale PA,Olympic Pool Co North,3.9,111,(570) 876-4771,http://swimolympic.com,341 Scranton Carbondale Hwy,They did a great job and if I needed another pool I would hire them again.
Hot Tub Maintenance service,Honesdale PA,Star Spa Inc,3.0,2,(570) 253-7201,http://www.starspaservices.com,1937 Bethany Turnpike,
Hot Tub Maintenance service,Blakeslee PA,A & J Pools,4.3,95,(570) 203-1161,http://www.anjpools.com,2138 PA-115,"Knowledgeable, great men (from the owner on down), great services!!!"
